NACA 0016
1.000000 0.000000
0.967948 0.007560
0.935930 0.013211
0.903977 0.018641
0.872123 0.023857
0.840400 0.028863
0.808841 0.033662
0.777479 0.038256
0.746345 0.042644
0.715472 0.046823
0.684892 0.050790
0.654635 0.054541
0.624733 0.058069
0.595217 0.061366
0.566116 0.064425
0.537462 0.067237
0.509282 0.069793
0.481607 0.072084
0.454465 0.074101
0.427883 0.075835
0.401889 0.077279
0.376510 0.078424
0.351772 0.079266
0.327699 0.079798
0.304317 0.080017
0.281651 0.079921
0.259722 0.079508
0.238554 0.078781
0.218169 0.077740
0.198586 0.076391
0.179828 0.074738
0.161912 0.072789
0.144857 0.070552
0.128681 0.068037
0.113401 0.065255
0.099031 0.062218
0.085587 0.058938
0.073083 0.055428
0.061532 0.051703
0.050944 0.047775
0.041332 0.043658
0.032705 0.039365
0.025072 0.034909
0.018441 0.030301
0.012818 0.025554
0.008210 0.020675
0.004621 0.015674
0.002055 0.010558
0.000514 0.005332
0.000000 0.000000
0.000514 -0.005332
0.002055 -0.010558
0.004621 -0.015674
0.008210 -0.020675
0.012818 -0.025554
0.018441 -0.030301
0.025072 -0.034909
0.032705 -0.039365
0.041332 -0.043658
0.050944 -0.047775
0.061532 -0.051703
0.073083 -0.055428
0.085587 -0.058938
0.099031 -0.062218
0.113401 -0.065255
0.128681 -0.068037
0.144857 -0.070552
0.161912 -0.072789
0.179828 -0.074738
0.198586 -0.076391
0.218169 -0.077740
0.238554 -0.078781
0.259722 -0.079508
0.281651 -0.079921
0.304317 -0.080017
0.327699 -0.079798
0.351772 -0.079266
0.376510 -0.078424
0.401889 -0.077279
0.427883 -0.075835
0.454465 -0.074101
0.481607 -0.072084
0.509282 -0.069793
0.537462 -0.067237
0.566116 -0.064425
0.595217 -0.061366
0.624733 -0.058069
0.654635 -0.054541
0.684892 -0.050790
0.715472 -0.046823
0.746345 -0.042644
0.777479 -0.038256
0.808841 -0.033662
0.840400 -0.028863
0.872123 -0.023857
0.903977 -0.018641
0.935930 -0.013211
0.967948 -0.007560
1.000000 0.000000
